ref	word	lemma	morph
Neh 1:1	דִּבְרֵ֥י	1697	HNcmpc
Neh 1:1	נְחֶמְיָ֖ה	5166	HNp
Neh 1:1	בֶּן	1121 a	HNcmsc
Neh 1:1	חֲכַלְיָ֑ה	2446	HNp
Neh 1:1	וַ/יְהִ֤י	c/1961	HC/Vqw3ms
Neh 1:1	בְ/חֹֽדֶשׁ	b/2320	HR/Ncmsc
Neh 1:1	כסלו	3691	HNp
Neh 1:1	שְׁנַ֣ת	8141	HNcfsc
Neh 1:1	עֶשְׂרִ֔ים	6242	HAcbpa
Neh 1:1	וַ/אֲנִ֥י	c/589	HC/Pp1cs
Neh 1:1	הָיִ֖יתִי	1961	HVqp1cs
Neh 1:1	בְּ/שׁוּשַׁ֥ן	b/7800	HR/Np
Neh 1:1	הַ/בִּירָֽה	d/1002	HTd/Ncfsa
Neh 1:2	וַ/יָּבֹ֨א	c/935	HC/Vqw3ms
Neh 1:2	חֲנָ֜נִי	2607	HNp
Neh 1:2	אֶחָ֧ד	259	HAcmsa
Neh 1:2	מֵ/אַחַ֛/י	m/251	HR/Ncmpc/Sp1cs
Neh 1:2	ה֥וּא	1931	HPp3ms
Neh 1:2	וַ/אֲנָשִׁ֖ים	c/376	HC/Ncmpa
Neh 1:2	מִֽ/יהוּדָ֑ה	m/3063	HR/Np
Neh 1:2	וָ/אֶשְׁאָלֵ֞/ם	c/7592	HC/Vqw1cs/Sp3mp
Neh 1:2	עַל	5921 a	HR
Neh 1:2	הַ/יְּהוּדִ֧ים	d/3064	HTd/Ngmpa
Neh 1:2	הַ/פְּלֵיטָ֛ה	d/6413	HTd/Ncfsa
Neh 1:2	אֲשֶֽׁר	834 a	HTr
Neh 1:2	נִשְׁאֲר֥וּ	7604	HVNp3cp
Neh 1:2	מִן	4480 a	HR
Neh 1:2	הַ/שֶּׁ֖בִי	d/7628 a	HTd/Ncbsa
Neh 1:2	וְ/עַל	c/5921 a	HC/R
Neh 1:2	יְרוּשָׁלִָֽם	3389	HNp
Neh 1:3	וַ/יֹּאמְרוּ֮	c/559	HC/Vqw3mp
Neh 1:3	לִ/י֒	l	HR/Sp1cs
Neh 1:3	הַֽ/נִּשְׁאָרִ֞ים	d/7604	HTd/VNrmpa
Neh 1:3	אֲשֶֽׁר	834 a	HTr
Neh 1:3	נִשְׁאֲר֤וּ	7604	HVNp3cp
Neh 1:3	מִן	4480 a	HR
Neh 1:3	הַ/שְּׁבִי֙	d/7628 a	HTd/Ncbsa
Neh 1:3	שָׁ֣ם	8033	HD
Neh 1:3	בַּ/מְּדִינָ֔ה	b/4082	HRd/Ncfsa
Neh 1:3	בְּ/רָעָ֥ה	b/7451 c	HR/Ncfsa
Neh 1:3	גְדֹלָ֖ה	1419 a	HAafsa
Neh 1:3	וּ/בְ/חֶרְפָּ֑ה	c/b/2781	HC/R/Ncfsa
Neh 1:3	וְ/חוֹמַ֤ת	c/2346	HC/Ncfsc
Neh 1:3	יְרוּשָׁלִַ֨ם֙	3389	HNp
Neh 1:3	מְפֹרָ֔צֶת	6555	HVPsfsa
Neh 1:3	וּ/שְׁעָרֶ֖י/הָ	c/8179	HC/Ncmpc/Sp3fs
Neh 1:3	נִצְּת֥וּ	3341	HVNp3cp
Neh 1:3	בָ/אֵֽשׁ	b/784	HRd/Ncbsa
Neh 1:4	וַ/יְהִ֞י	c/1961	HC/Vqw3ms
Neh 1:4	כְּ/שָׁמְעִ֣/י	k/8085	HR/Vqc/Sp1cs
Neh 1:4	אֶת	853	HTo
Neh 1:4	הַ/דְּבָרִ֣ים	d/1697	HTd/Ncmpa
Neh 1:4	הָ/אֵ֗לֶּה	d/428	HTd/Pdxcp
Neh 1:4	יָשַׁ֨בְתִּי֙	3427	HVqp1cs
Neh 1:4	וָֽ/אֶבְכֶּ֔ה	c/1058	HC/Vqw1cs
Neh 1:4	וָ/אֶתְאַבְּלָ֖/ה	c/56	HC/Vtw1cs/Sh
Neh 1:4	יָמִ֑ים	3117	HNcmpa
Neh 1:4	וָֽ/אֱהִ֥י	c/1961	HC/Vqw1cs
Neh 1:4	צָם֙	6684	HVqrmsa
Neh 1:4	וּ/מִתְפַּלֵּ֔ל	c/6419	HC/Vtrmsa
Neh 1:4	לִ/פְנֵ֖י	l/6440	HR/Ncbpc
Neh 1:4	אֱלֹהֵ֥י	430	HNcmpc
Neh 1:4	הַ/שָּׁמָֽיִם	d/8064	HTd/Ncmpa
Neh 1:5	וָ/אֹמַ֗ר	c/559	HC/Vqw1cs
Neh 1:5	אָֽנָּ֤א	577	HTe
Neh 1:5	יְהוָה֙	3068	HNp
Neh 1:5	אֱלֹהֵ֣י	430	HNcmpc
Neh 1:5	הַ/שָּׁמַ֔יִם	d/8064	HTd/Ncmpa
Neh 1:5	הָ/אֵ֥ל	d/410	HTd/Ncmsa
Neh 1:5	הַ/גָּד֖וֹל	d/1419 a	HTd/Aamsa
Neh 1:5	וְ/הַ/נּוֹרָ֑א	c/d/3372	HC/Td/VNrmsa
Neh 1:5	שֹׁמֵ֤ר	8104	HVqrmsa
Neh 1:5	הַ/בְּרִית֙	d/1285	HTd/Ncfsa
Neh 1:5	וָ/חֶ֔סֶד	c/2617 a	HC/Ncmsa
Neh 1:5	לְ/אֹהֲבָ֖י/ו	l/157	HR/Vqrmpc/Sp3ms
Neh 1:5	וּ/לְ/שֹׁמְרֵ֥י	c/l/8104	HC/R/Vqrmpc
Neh 1:5	מִצְוֺתָֽי/ו	4687	HNcfpc/Sp3ms
Neh 1:6	תְּהִ֣י	1961	HVqj3fs
Neh 1:6	נָ֣א	4994	HTe
Neh 1:6	אָזְנְ/ךָֽ	241	HNcfsc/Sp2ms
Neh 1:6	קַשֶּׁ֣בֶת	7183 a	HAafsa
Neh 1:6	וְֽ/עֵינֶ֪י/ךָ	c/5869 a	HC/Ncbdc/Sp2ms
Neh 1:6	פְתֻוּח֟וֹת	6605 a	HVqsfpa
Neh 1:6	לִ/שְׁמֹ֣עַ	l/8085	HR/Vqc
Neh 1:6	אֶל	413	HR
Neh 1:6	תְּפִלַּ֣ת	8605	HNcfsc
Neh 1:6	עַבְדְּ/ךָ֡	5650	HNcmsc/Sp2ms
Neh 1:6	אֲשֶׁ֣ר	834 a	HTr
Neh 1:6	אָנֹכִי֩	595	HPp1cs
Neh 1:6	מִתְפַּלֵּ֨ל	6419	HVtrmsa
Neh 1:6	לְ/פָנֶ֤י/ךָ	l/6440	HR/Ncbpc/Sp2ms
Neh 1:6	הַ/יּוֹם֙	d/3117	HTd/Ncmsa
Neh 1:6	יוֹמָ֣ם	3119	HD
Neh 1:6	וָ/לַ֔יְלָה	c/3915	HC/Ncmsa
Neh 1:6	עַל	5921 a	HR
Neh 1:6	בְּנֵ֥י	1121 a	HNcmpc
Neh 1:6	יִשְׂרָאֵ֖ל	3478	HNp
Neh 1:6	עֲבָדֶ֑י/ךָ	5650	HNcmpc/Sp2ms
Neh 1:6	וּ/מִתְוַדֶּ֗ה	c/3034	HC/Vtrmsa
Neh 1:6	עַל	5921 a	HR
Neh 1:6	חַטֹּ֤אות	2403 b	HNcfpc
Neh 1:6	בְּנֵֽי	1121 a	HNcmpc
Neh 1:6	יִשְׂרָאֵל֙	3478	HNp
Neh 1:6	אֲשֶׁ֣ר	834 a	HTr
Neh 1:6	חָטָ֣אנוּ	2398	HVqp1cp
Neh 1:6	לָ֔/ךְ	l	HR/Sp2fs
Neh 1:6	וַ/אֲנִ֥י	c/589	HC/Pp1cs
Neh 1:6	וּ/בֵית	c/1004 b	HC/Ncmsc
Neh 1:6	אָבִ֖/י	1	HNcmsc/Sp1cs
Neh 1:6	חָטָֽאנוּ	2398	HVqp1cp
Neh 1:7	חֲבֹ֖ל	2254 b	HVqc
Neh 1:7	חָבַ֣לְנוּ	2254 b	HVqp1cp
Neh 1:7	לָ֑/ךְ	l	HR/Sp2fs
Neh 1:7	וְ/לֹא	c/3808	HC/Tn
Neh 1:7	שָׁמַ֣רְנוּ	8104	HVqp1cp
Neh 1:7	אֶת	853	HTo
Neh 1:7	הַ/מִּצְוֺ֗ת	d/4687	HTd/Ncfpa
Neh 1:7	וְ/אֶת	c/853	HC/To
Neh 1:7	הַֽ/חֻקִּים֙	d/2706	HTd/Ncmpa
Neh 1:7	וְ/אֶת	c/853	HC/To
Neh 1:7	הַ/מִּשְׁפָּטִ֔ים	d/4941	HTd/Ncmpa
Neh 1:7	אֲשֶׁ֥ר	834 a	HTr
Neh 1:7	צִוִּ֖יתָ	6680	HVpp2ms
Neh 1:7	אֶת	853	HTo
Neh 1:7	מֹשֶׁ֥ה	4872	HNp
Neh 1:7	עַבְדֶּֽ/ךָ	5650	HNcmsc/Sp2ms
Neh 1:8	זְכָר	2142	HVqv2ms
Neh 1:8	נָא֙	4994	HTe
Neh 1:8	אֶת	853	HTo
Neh 1:8	הַ/דָּבָ֔ר	d/1697	HTd/Ncmsa
Neh 1:8	אֲשֶׁ֥ר	834 a	HTr
Neh 1:8	צִוִּ֛יתָ	6680	HVpp2ms
Neh 1:8	אֶת	853	HTo
Neh 1:8	מֹשֶׁ֥ה	4872	HNp
Neh 1:8	עַבְדְּ/ךָ֖	5650	HNcmsc/Sp2ms
Neh 1:8	לֵ/אמֹ֑ר	l/559	HR/Vqc
Neh 1:8	אַתֶּ֣ם	859 d	HPp2mp
Neh 1:8	תִּמְעָ֔לוּ	4603	HVqi2mp
Neh 1:8	אֲנִ֕י	589	HPp1cs
Neh 1:8	אָפִ֥יץ	6327 a	HVhi1cs
Neh 1:8	אֶתְ/כֶ֖ם	853	HTo/Sp2mp
Neh 1:8	בָּ/עַמִּֽים	b/5971 a	HRd/Ncmpa
Neh 1:9	וְ/שַׁבְתֶּ֣ם	c/7725	HC/Vqq2mp
Neh 1:9	אֵלַ֔/י	413	HR/Sp1cs
Neh 1:9	וּ/שְׁמַרְתֶּם֙	c/8104	HC/Vqq2mp
Neh 1:9	מִצְוֺתַ֔/י	4687	HNcfpc/Sp1cs
Neh 1:9	וַ/עֲשִׂיתֶ֖ם	c/6213 a	HC/Vqq2mp
Neh 1:9	אֹתָ֑/ם	853	HTo/Sp3mp
Neh 1:9	אִם	518 a	HC
Neh 1:9	יִהְיֶ֨ה	1961	HVqi3ms
Neh 1:9	נִֽדַּחֲ/כֶ֜ם	5080	HVNsmsc/Sp2mp
Neh 1:9	בִּ/קְצֵ֤ה	b/7097 a	HR/Ncbsc
Neh 1:9	הַ/שָּׁמַ֨יִם֙	d/8064	HTd/Ncmpa
Neh 1:9	מִ/שָּׁ֣ם	m/8033	HR/D
Neh 1:9	אֲקַבְּצֵ֔/ם	6908	HVpi1cs/Sp3mp
Neh 1:9	ו/הבואתי/ם	c/935	HC/Vhq1cs/Sp3mp
Neh 1:9	אֶל	413	HR
Neh 1:9	הַ/מָּק֔וֹם	d/4725	HTd/Ncmsa
Neh 1:9	אֲשֶׁ֣ר	834 a	HTr
Neh 1:9	בָּחַ֔רְתִּי	977	HVqp1cs
Neh 1:9	לְ/שַׁכֵּ֥ן	l/7931	HR/Vpc
Neh 1:9	אֶת	853	HTo
Neh 1:9	שְׁמִ֖/י	8034	HNcmsc/Sp1cs
Neh 1:9	שָֽׁם	8033	HD
Neh 1:10	וְ/הֵ֥ם	c/1992	HC/Pp3mp
Neh 1:10	עֲבָדֶ֖י/ךָ	5650	HNcmpc/Sp2ms
Neh 1:10	וְ/עַמֶּ֑/ךָ	c/5971 a	HC/Ncmsc/Sp2ms
Neh 1:10	אֲשֶׁ֤ר	834 a	HTr
Neh 1:10	פָּדִ֨יתָ֙	6299	HVqp2ms
Neh 1:10	בְּ/כֹחֲ/ךָ֣	b/3581 b	HR/Ncmsc/Sp2ms
Neh 1:10	הַ/גָּד֔וֹל	d/1419 a	HTd/Aamsa
Neh 1:10	וּ/בְ/יָדְ/ךָ֖	c/b/3027	HC/R/Ncbsc/Sp2ms
Neh 1:10	הַ/חֲזָקָֽה	d/2389	HTd/Aafsa
Neh 1:11	אָנָּ֣א	577	HTe
Neh 1:11	אֲדֹנָ֗/י	136	HNcmpc/Sp1cs
Neh 1:11	תְּהִ֣י	1961	HVqj3fs
Neh 1:11	נָ֣א	4994	HTe
Neh 1:11	אָזְנְ/ךָֽ	241	HNcfsc/Sp2ms
Neh 1:11	קַ֠שֶּׁבֶת	7183 a	HAafsa
Neh 1:11	אֶל	413	HR
Neh 1:11	תְּפִלַּ֨ת	8605	HNcfsc
Neh 1:11	עַבְדְּ/ךָ֜	5650	HNcmsc/Sp2ms
Neh 1:11	וְ/אֶל	c/413	HC/R
Neh 1:11	תְּפִלַּ֣ת	8605	HNcfsc
Neh 1:11	עֲבָדֶ֗י/ךָ	5650	HNcmpc/Sp2ms
Neh 1:11	הַֽ/חֲפֵצִים֙	d/2655	HTd/Aampa
Neh 1:11	לְ/יִרְאָ֣ה	l/3372	HR/Vqc
Neh 1:11	אֶת	853	HTo
Neh 1:11	שְׁמֶ֔/ךָ	8034	HNcmsc/Sp2ms
Neh 1:11	וְ/הַצְלִֽיחָ/ה	c/6743 b	HC/Vhv2ms/Sh
Neh 1:11	נָּ֤א	4994	HTj
Neh 1:11	לְ/עַבְדְּ/ךָ֙	l/5650	HR/Ncmsc/Sp2ms
Neh 1:11	הַ/יּ֔וֹם	d/3117	HTd/Ncmsa
Neh 1:11	וּ/תְנֵ֣/הוּ	c/5414	HC/Vqv2ms/Sp3ms
Neh 1:11	לְ/רַחֲמִ֔ים	l/7356 b	HR/Ncmpa
Neh 1:11	לִ/פְנֵ֖י	l/6440	HR/Ncbpc
Neh 1:11	הָ/אִ֣ישׁ	d/376	HTd/Ncmsa
Neh 1:11	הַ/זֶּ֑ה	d/2088	HTd/Pdxms
Neh 1:11	וַ/אֲנִ֛י	c/589	HC/Pp1cs
Neh 1:11	הָיִ֥יתִי	1961	HVqp1cs
Neh 1:11	מַשְׁקֶ֖ה	4945 a	HNcmsa
Neh 1:11	לַ/מֶּֽלֶךְ	l/4428	HRd/Ncmsa
Neh 2:1	וַ/יְהִ֣י	c/1961	HC/Vqw3ms
Neh 2:1	בְּ/חֹ֣דֶשׁ	b/2320	HR/Ncmsc
Neh 2:1	נִיסָ֗ן	5212	HNp
Neh 2:1	שְׁנַ֥ת	8141	HNcfsc
Neh 2:1	עֶשְׂרִ֛ים	6242	HAcbpa
Neh 2:1	לְ/אַרְתַּחְשַׁ֥סְתְּא	l/783 a	HR/Np
Neh 2:1	הַ/מֶּ֖לֶךְ	d/4428	HTd/Ncmsa
Neh 2:1	יַ֣יִן	3196	HNcmsa
Neh 2:1	לְ/פָנָ֑י/ו	l/6440	HR/Ncbpc/Sp3ms
Neh 2:1	וָ/אֶשָּׂ֤א	c/5375	HC/Vqw1cs
Neh 2:1	אֶת	853	HTo
Neh 2:1	הַ/יַּ֨יִן֙	d/3196	HTd/Ncmsa
Neh 2:1	וָ/אֶתְּנָ֣/ה	c/5414	HC/Vqw1cs/Sh
Neh 2:1	לַ/מֶּ֔לֶךְ	l/4428	HRd/Ncmsa
Neh 2:1	וְ/לֹא	c/3808	HC/Tn
Neh 2:1	הָיִ֥יתִי	1961	HVqp1cs
Neh 2:1	רַ֖ע	7451 a	HAamsa
Neh 2:1	לְ/פָנָֽי/ו	l/6440	HR/Ncbpc/Sp3ms
Neh 2:2	וַ/יֹּאמֶר֩	c/559	HC/Vqw3ms
Neh 2:2	לִ֨/י	l	HR/Sp1cs
Neh 2:2	הַ/מֶּ֜לֶךְ	d/4428	HTd/Ncmsa
Neh 2:2	מַדּ֣וּעַ	4069	HTi
Neh 2:2	פָּנֶ֣י/ךָ	6440	HNcbpc/Sp2ms
Neh 2:2	רָעִ֗ים	7451 a	HAampa
Neh 2:2	וְ/אַתָּה֙	c/859 a	HC/Pp2ms
Neh 2:2	אֵֽינְ/ךָ֣	369	HTn/Sp2ms
Neh 2:2	חוֹלֶ֔ה	2470 a	HVqrmsa
Neh 2:2	אֵ֣ין	369	HTn
Neh 2:2	זֶ֔ה	2088	HPdxms
Neh 2:2	כִּי	3588 a	HC
Neh 2:2	אִ֖ם	518 a	HC
Neh 2:2	רֹ֣עַֽ	7455	HNcmsc
Neh 2:2	לֵ֑ב	3820 a	HNcmsa
Neh 2:2	וָ/אִירָ֖א	c/3372	HC/Vqw1cs
Neh 2:2	הַרְבֵּ֥ה	7235 a	HVha
Neh 2:2	מְאֹֽד	3966	HD
Neh 2:3	וָ/אֹמַ֣ר	c/559	HC/Vqw1cs
Neh 2:3	לַ/מֶּ֔לֶךְ	l/4428	HRd/Ncmsa
Neh 2:3	הַ/מֶּ֖לֶךְ	d/4428	HTd/Ncmsa
Neh 2:3	לְ/עוֹלָ֣ם	l/5769	HR/Ncmsa
Neh 2:3	יִחְיֶ֑ה	2421	HVqi3ms
Neh 2:3	מַדּ֜וּעַ	4069	HTi
Neh 2:3	לֹא	3808	HTn
Neh 2:3	יֵרְע֣וּ	7489 a	HVqi3mp
Neh 2:3	פָנַ֗/י	6440	HNcbpc/Sp1cs
Neh 2:3	אֲשֶׁ֨ר	834 a	HTr
Neh 2:3	הָ/עִ֜יר	d/5892 b	HTd/Ncfsa
Neh 2:3	בֵּית	1004 b	HNcmsc
Neh 2:3	קִבְר֤וֹת	6913	HNcmpc
Neh 2:3	אֲבֹתַ/י֙	1	HNcmpc/Sp1cs
Neh 2:3	חֲרֵבָ֔ה	2717 b	HAafsa
Neh 2:3	וּ/שְׁעָרֶ֖י/הָ	c/8179	HC/Ncmpc/Sp3fs
Neh 2:3	אֻכְּל֥וּ	398	HVQp3cp
Neh 2:3	בָ/אֵֽשׁ	b/784	HRd/Ncbsa
Neh 2:4	וַ/יֹּ֤אמֶר	c/559	HC/Vqw3ms
Neh 2:4	לִ/י֙	l	HR/Sp1cs
Neh 2:4	הַ/מֶּ֔לֶךְ	d/4428	HTd/Ncmsa
Neh 2:4	עַל	5921 a	HR
Neh 2:4	מַה	4100	HTi
Neh 2:4	זֶּ֖ה	2088	HPdxms
Neh 2:4	אַתָּ֣ה	859 a	HPp2ms
Neh 2:4	מְבַקֵּ֑שׁ	1245	HVprmsa
Neh 2:4	וָֽ/אֶתְפַּלֵּ֔ל	c/6419	HC/Vtw1cs
Neh 2:4	אֶל	413	HR
Neh 2:4	אֱלֹהֵ֖י	430	HNcmpc
Neh 2:4	הַ/שָּׁמָֽיִם	d/8064	HTd/Ncmpa
Neh 2:5	וָ/אֹמַ֣ר	c/559	HC/Vqw1cs
Neh 2:5	לַ/מֶּ֔לֶךְ	l/4428	HRd/Ncmsa
Neh 2:5	אִם	518 a	HC
Neh 2:5	עַל	5921 a	HR
Neh 2:5	הַ/מֶּ֣לֶךְ	d/4428	HTd/Ncmsa
Neh 2:5	ט֔וֹב	2895	HAamsa
Neh 2:5	וְ/אִם	c/518 a	HC/C
Neh 2:5	יִיטַ֥ב	3190	HVqi3ms
Neh 2:5	עַבְדְּ/ךָ֖	5650	HNcmsc/Sp2ms
Neh 2:5	לְ/פָנֶ֑י/ךָ	l/6440	HR/Ncbpc/Sp2ms
Neh 2:5	אֲשֶׁ֧ר	834 a	HTr
Neh 2:5	תִּשְׁלָחֵ֣/נִי	7971	HVqi2ms/Sp1cs
Neh 2:5	אֶל	413	HR
Neh 2:5	יְהוּדָ֗ה	3063	HNp
Neh 2:5	אֶל	413	HR
Neh 2:5	עִ֛יר	5892 b	HNcfsc
Neh 2:5	קִבְר֥וֹת	6913	HNcmpc
Neh 2:5	אֲבֹתַ֖/י	1	HNcmpc/Sp1cs
Neh 2:5	וְ/אֶבְנֶֽ/נָּה	c/1129	HC/Vqi1cs/Sp3fs
Neh 2:6	וַ/יֹּאמֶר֩	c/559	HC/Vqw3ms
Neh 2:6	לִ֨/י	l	HR/Sp1cs
Neh 2:6	הַ/מֶּ֜לֶךְ	d/4428	HTd/Ncmsa
Neh 2:6	וְ/הַ/שֵּׁגַ֣ל	c/d/7694	HC/Td/Ncfsa
Neh 2:6	יוֹשֶׁ֣בֶת	3427	HVqrfsa
Neh 2:6	אֶצְל֗/וֹ	681	HR/Sp3ms
Neh 2:6	עַד	5704	HR
Neh 2:6	מָתַ֛י	4970	HTi
Neh 2:6	יִהְיֶ֥ה	1961	HVqi3ms
Neh 2:6	מַֽהֲלָכֲ/ךָ֖	4109	HNcmsc/Sp2ms
Neh 2:6	וּ/מָתַ֣י	c/4970	HC/Ti
Neh 2:6	תָּשׁ֑וּב	7725	HVqi2ms
Neh 2:6	וַ/יִּיטַ֤ב	c/3190	HC/Vqw3ms
Neh 2:6	לִ/פְנֵֽי	l/6440	HR/Ncbpc
Neh 2:6	הַ/מֶּ֨לֶךְ֙	d/4428	HTd/Ncmsa
Neh 2:6	וַ/יִּשְׁלָחֵ֔/נִי	c/7971	HC/Vqw3ms/Sp1cs
Neh 2:6	וָֽ/אֶתְּנָ֥/ה	c/5414	HC/Vqw1cs/Sh
Neh 2:6	ל֖/וֹ	l	HR/Sp3ms
Neh 2:6	זְמָֽן	2165	HNcmsa
Neh 2:7	וָ/אוֹמַר֮	c/559	HC/Vqw1cs
Neh 2:7	לַ/מֶּלֶךְ֒	l/4428	HRd/Ncmsa
Neh 2:7	אִם	518 a	HC
Neh 2:7	עַל	5921 a	HR
Neh 2:7	הַ/מֶּ֣לֶךְ	d/4428	HTd/Ncmsa
Neh 2:7	ט֔וֹב	2895	HAamsa
Neh 2:7	אִגְּרוֹת֙	107	HNcfpa
Neh 2:7	יִתְּנוּ	5414	HVqi3mp
Neh 2:7	לִ֔/י	l	HR/Sp1cs
Neh 2:7	עַֽל	5921 a	HR
Neh 2:7	פַּחֲו֖וֹת	6346	HNcmpc
Neh 2:7	עֵ֣בֶר	5676	HNcmsc
Neh 2:7	הַ/נָּהָ֑ר	d/5104	HTd/Ncmsa
Neh 2:7	אֲשֶׁר֙	834 a	HTr
Neh 2:7	יַעֲבִיר֔וּ/נִי	5674 a	HVhi3mp/Sp1cs
Neh 2:7	עַ֥ד	5704	HR
Neh 2:7	אֲשֶׁר	834 a	HTr
Neh 2:7	אָב֖וֹא	935	HVqi1cs
Neh 2:7	אֶל	413	HR
Neh 2:7	יְהוּדָֽה	3063	HNp
Neh 2:8	וְ/אִגֶּ֡רֶת	c/107	HC/Ncfsa
Neh 2:8	אֶל	413	HR
Neh 2:8	אָסָף֩	623	HNp
Neh 2:8	שֹׁמֵ֨ר	8104	HVqrmsc
Neh 2:8	הַ/פַּרְדֵּ֜ס	d/6508	HTd/Ncmsa
Neh 2:8	אֲשֶׁ֣ר	834 a	HTr
Neh 2:8	לַ/מֶּ֗לֶךְ	l/4428	HRd/Ncmsa
Neh 2:8	אֲשֶׁ֣ר	834 a	HTr
Neh 2:8	יִתֶּן	5414	HVqi3ms
Neh 2:8	לִ֣/י	l	HR/Sp1cs
Neh 2:8	עֵצִ֡ים	6086	HNcmpa
Neh 2:8	לְ֠/קָרוֹת	l/7136 b	HR/Vpc
Neh 2:8	אֶת	853	HTo
Neh 2:8	שַׁעֲרֵ֨י	8179	HNcmpc
Neh 2:8	הַ/בִּירָ֤ה	d/1002	HTd/Ncfsa
Neh 2:8	אֲשֶׁר	834 a	HTr
Neh 2:8	לַ/בַּ֨יִת֙	l/1004 b	HRd/Ncmsa
Neh 2:8	וּ/לְ/חוֹמַ֣ת	c/l/2346	HC/R/Ncfsc
Neh 2:8	הָ/עִ֔יר	d/5892 b	HTd/Ncfsa
Neh 2:8	וְ/לַ/בַּ֖יִת	c/l/1004 b	HC/Rd/Ncmsa
Neh 2:8	אֲשֶׁר	834 a	HTr
Neh 2:8	אָב֣וֹא	935	HVqi1cs
Neh 2:8	אֵלָ֑י/ו	413	HR/Sp3ms
Neh 2:8	וַ/יִּתֶּן	c/5414	HC/Vqw3ms
Neh 2:8	לִ֣/י	l	HR/Sp1cs
Neh 2:8	הַ/מֶּ֔לֶךְ	d/4428	HTd/Ncmsa
Neh 2:8	כְּ/יַד	k/3027	HR/Ncbsc
Neh 2:8	אֱלֹהַ֖/י	430	HNcmpc/Sp1cs
Neh 2:8	הַ/טּוֹבָ֥ה	d/2896 a	HTd/Aafsa
Neh 2:8	עָלָֽ/י	5921 a	HR/Sp1cs
Neh 2:9	וָֽ/אָב֗וֹא	c/935	HC/Vqw1cs
Neh 2:9	אֶֽל	413	HR
Neh 2:9	פַּֽחֲווֹת֙	6346	HNcmpc
Neh 2:9	עֵ֣בֶר	5676	HNcmsc
Neh 2:9	הַ/נָּהָ֔ר	d/5104	HTd/Ncmsa
Neh 2:9	וָ/אֶתְּנָ֣/ה	c/5414	HC/Vqw1cs/Sh
Neh 2:9	לָ/הֶ֔ם	l	HR/Sp3mp
Neh 2:9	אֵ֖ת	853	HTo
Neh 2:9	אִגְּר֣וֹת	107	HNcfpc
Neh 2:9	הַ/מֶּ֑לֶךְ	d/4428	HTd/Ncmsa
Neh 2:9	וַ/יִּשְׁלַ֤ח	c/7971	HC/Vqw3ms
Neh 2:9	עִמִּ/י֙	5973 a	HR/Sp1cs
Neh 2:9	הַ/מֶּ֔לֶךְ	d/4428	HTd/Ncmsa
Neh 2:9	שָׂ֥רֵי	8269	HNcmpc
Neh 2:9	חַ֖יִל	2428	HNcmsa
Neh 2:9	וּ/פָרָשִֽׁים	c/6571 b	HC/Ncmpa
Neh 2:10	וַ/יִּשְׁמַ֞ע	c/8085	HC/Vqw3ms
Neh 2:10	סַנְבַלַּ֣ט	5571	HNp
Neh 2:10	הַ/חֹרֹנִ֗י	d/2772	HTd/Ngmsa
Neh 2:10	וְ/טֽוֹבִיָּה֙	c/2900	HC/Np
Neh 2:10	הָ/עֶ֣בֶד	d/5650	HTd/Ncmsa
Neh 2:10	הָֽ/עַמֹּנִ֔י	d/5984	HTd/Ngmsa
Neh 2:10	וַ/יֵּ֥רַע	c/7489 a	HC/Vqw3ms
Neh 2:10	לָ/הֶ֖ם	l	HR/Sp3mp
Neh 2:10	רָעָ֣ה	7451 c	HNcfsa
Neh 2:10	גְדֹלָ֑ה	1419 a	HAafsa
Neh 2:10	אֲשֶׁר	834 a	HTr
Neh 2:10	בָּ֥א	935	HVqp3ms
Neh 2:10	אָדָ֔ם	120	HNcmsa
Neh 2:10	לְ/בַקֵּ֥שׁ	l/1245	HR/Vpc
Neh 2:10	טוֹבָ֖ה	2896 c	HAafsa
Neh 2:10	לִ/בְנֵ֥י	l/1121 a	HR/Ncmpc
Neh 2:10	יִשְׂרָאֵֽל	3478	HNp
Neh 2:11	וָ/אָב֖וֹא	c/935	HC/Vqw1cs
Neh 2:11	אֶל	413	HR
Neh 2:11	יְרוּשָׁלִָ֑ם	3389	HNp
Neh 2:11	וָ/אֱהִי	c/1961	HC/Vqw1cs
Neh 2:11	שָׁ֖ם	8033	HD
Neh 2:11	יָמִ֥ים	3117	HNcmpa
Neh 2:11	שְׁלֹשָֽׁה	7969	HAcmsa
Neh 2:12	וָ/אָק֣וּם	c/6965 b	HC/Vqw1cs
Neh 2:12	לַ֗יְלָה	3915	HNcmsa
Neh 2:12	אֲנִי֮	589	HPp1cs
Neh 2:12	וַ/אֲנָשִׁ֣ים	c/376	HC/Ncmpa
Neh 2:12	מְעַט֮	4592	HNcmsa
Neh 2:12	עִמִּ/י֒	5973 a	HR/Sp1cs
Neh 2:12	וְ/לֹא	c/3808	HC/Tn
Neh 2:12	הִגַּ֣דְתִּי	5046	HVhp1cs
Neh 2:12	לְ/אָדָ֔ם	l/120	HR/Ncmsa
Neh 2:12	מָ֗ה	4100	HTi
Neh 2:12	אֱלֹהַ/י֙	430	HNcmpc/Sp1cs
Neh 2:12	נֹתֵ֣ן	5414	HVqrmsa
Neh 2:12	אֶל	413	HR
Neh 2:12	לִבִּ֔/י	3820 a	HNcmsc/Sp1cs
